Military expenditure by country, in local currency, 1988-2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Figures are in local currency at current prices and are for financial years. Countries are grouped by region and subregion.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All data are expressed in the most recent currency for each country.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Figures in blue are SIPRI estimates. Figures in red indicate highly uncertain data.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
""". ."" = data unavailable. ""xxx"" = country did not exist or was not independent during all or part of the year in question.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country                   ;Currency;Financial year start;Notes;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Lesotho                       ;m. maloti                     ;April;;44.1;75.7;70.0;71.8;67.8;72.6;98.2;134;118;137;159;225;208;199;209;207;202;218;245;292;204;468;534;385;454;466;535
Liberia                       ;m. dollars                    ;July;17;26.5;. .;28.3;21.7;23.6;37.3;41.3;. .;. .;. .;. .;. .;. .;. .;. .;1.7;3.2;8.0;3.9;3.5;3.9;7.2;8.5;13.3;16.0;14.6;16.7
Madagascar                    ;b. ariary                     ;January;? 18;9.3;9.7;11.3;12.7;8.6;14.5;16.9;23.2;40.2;53.5;54.9;56.6;63.9;85.7;78.9;89.8;102;108;116;154;176;139;119;146;151;163;173
Malawi                        ;m. kwacha                     ;April;;53.1;66.1;66.4;66.5;99.1;118;159;172;354;461;446;698;698;988;1186;1309;2753;5116;3933;4959;6678;8841;7082;8659;13566;28808;19589
Mali                          ;b. CFA francs                 ;January;¶;14.3;14.7;14.2;. .;. .;12.6;16.6;20.2;20.3;23.5;24.2;27;31.1;32.9;34.4;38.8;40.9;45.6;50.2;52.9;64;68.2;72.7;76.0;76.0;76.0;84.2
Mauritania                    ;b. ouguiyas                   ;January;‡ 19 ;3.2;3.2;3.2;3.2;3.4;3.6;3.6;4.2;5.2;6.3;4.8;6.7;9.1;13.3;9.9;16.4;18.6;17.7;22.0;. .;29.4;30.1;. .;. .;42.2;43.4;43.8
Mauritius                     ;m. rupees                     ;July;;73.0;120;153;176;180;200;226;242;224;189;217;239;253;270;299;308;293;349;337;392;495;242;458;503;501;712;1007
Mozambique                    ;m. meticais                   ;January;? 20;33.5;58.9;78.6;103;150;230;440;302;407;485;585;722;843;1048;1267;1422;1753;1436;1459;1773;2034;2320;3369;3455;3947;4753;5448
Namibia                       ;m. dollars                    ;April;21;xxx;xxx;513;362;353;188;207;261;294;416;443;714;617;905;935;994;1107;1260;1382;1683;2372;2593;3006;3293;3414;3964;6606
Niger                         ;b. CFA francs              ;January;;. .;. .;. .;. .;. .;. .;9.7;9.2;8.9;10.1;13;14.5;14.3;18.2;14.4;14.3;16.7;17.3;. .;. .;24;25;33.1;39.6;35.6;. .;. .
Nigeria                       ;b. naira                      ;January;22;1.2;1.3;2.2;2.4;3.0;6.4;7.0;14.0;15.4;17.9;25.2;45.4;37.5;63.5;108;75.9;85.0;88.5;99.9;122;192;224;299;369;365;381;374
Rwanda                        ;b. francs                  ;Special, see notes;23;2800;3336;8.0;13.2;11.9;12.9;5.7;14.8;22.6;23.3;27.2;27.0;23.9;25.2;24.3;24.3;23.8;25.1;30.1;30.4;37;64.2;44.1;46.4;51.7;55;62.4
Senegal                       ;b. CFA francs                 ;January;§ ¶ 24;29.6;30.5;31.3;29.9;29.1;34.0;36.7;40.4;40.8;41.3;44.3;48.2;44.4;50.5;51.8;56.3;56.819;65.619;77.678;92.407;97.116;101.437;96.942;108.619;100.401;116.958;118.607
Seychelles                    ;m. rupees                     ;January;;65.4;73.6;79.2;87.6;105;67.1;60.1;55.2;52.4;57.3;55.5;59.3;59.0;64.8;64.1;66.1;87.6;81.0;79.3;102;105;118;86.4;108;136;159;193
Sierra Leone                  ;m. leones                     ;January;25;230;577;1369;4792;10081;13244;15546;18898;17119;9315;. .;. .;48769;59408;56955;66841;62026;68056;83000;86800;70500;89400;99700;111000;120000;131000;173000
Somalia                       ;m. Shillings/m. US$                     ;January;26;7918;4200;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;26.05;60.258
South Africa                  ;m. rand                       ;April;;10334;11179;11330;10488;10488;10683;12908;11620;10984;11171;10323;10717;13932;16044;19473;19473;20201;23511;23819;25180;27801;31324;30442;34331;37702;40658;42831
South Sudan;m. pounds;January;27;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;. .;. .;1198;1185;1874;1404;1501;4720;2684;3110;3280
Sudan                         ;m. pounds                     ;January;‡ ? 28;1.7;. .;3.9;6.9;13.0;30.0;47.9;113;133;154;522;1085;1510;1004;1276;1039;3200;2838;3338;. .;. .;. .;. .;. .;. .;. .;. .
Swaziland                     ;m. emalangeni                 ;April;‡ 29;20.8;26.6;41.2;45.2;64.7;81.8;94.9;108;116;119;150;161;173;168;202;255;283;410;392;451;584;663;775;774;753;867;878
Tanzania                      ;b. shillings                  ;July;;14.1;16.1;17.9;29.5;28.2;19.4;40.1;58.2;59.0;86.2;92.3;99.1;117;147;125;135;143;172;197;217;247;332;465;502;637;670;859
Togo                          ;m. CFA francs                 ;January;;12834;13354;13817;12950;13000;14200;14100;15400;. .;. .;. .;. .;. .;. .;. .;16757;16757;17532;. .;. .;25529;. .;28148;27849;. .;. .;. .
Uganda                        ;b. shillings                  ;July;;21.3;41.1;50.7;57.3;61.4;88.3;116;130;153;150;234;231;234;244;267;331;379;393;407;462;611;581;2070;993;769;822;851
Zambia                        ;m. kwacha                  ;January;;0.72;2.3;4.2;5.6;16.8;23.1;42.1;47.8;45.7;57;. .;134;. .;. .;. .;. .;470;623;742;930;1042;1115;1344;1503;1783;2058;2727
Zimbabwe          ;m. US dollars                    ;January;? 30;407;410;423;330;263;237;259;267;317;459;. .;263;346;287;677;195;256;131;162;. .;. .;. .;98.3;198;318;357;368
Americas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central America and the Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belize                        ;m. dollars                   ;April;;8.3;8.8;9.8;9.4;11.0;12.7;16.8;15.9;16.0;19.7;. .;16.1;13.6;15.3;15.8;17.6;19.4;22.1;25.4;28.2;40.5;32.5;30.1;31.1;30.0;34.5;35.5
Costa Rica                    ;m. colones                    ;January;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cuba                          ;m. pesos                      ;January;32;1274;1377;1380;1160;. .;300;. .;. .;. .;. .;. .;. .;. .;. .;. .;1259;1303;1650;1708;1892;2022;2099;2140;2244;2880;2710;. .
Dominican Rep.                ;m. pesos                      ;January;;289;339;408;430;806;1217;1329;1148;1474;2149;2428;2806;4051;5186;5056;4804;6436;8305;8621;9153;11629;11587;13239;13326;14238;15498;17351
El Salvador                   ;m. US dollar                  ;January;33;213;240;202;187;179;166;159;161;161;162;161;164;169;191;204;166;162;170;185;200;209;215;226;256;273;266;263
Guatemala                     ;m. quetzales                  ;January;;327;364;505;511;677;693;806;843;784;801;894;914;1225;1546;1239;1420;913;798;993;1043;1259;1203;1368;1537;1758;1962;2041
Haiti                         ;m. gourdes                    ;April;34;10.0;11.6;14.0;16.5;17.3;22.4;24.6;41.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Honduras                      ;m. lempiras                   ;January;35;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;779;974;1045;1426;1103;1179;1428;1813;2503;2963;3216;3790;3635;4681;5202
Jamaica                       ;m. dollars                    ;April;;. .;180;203;299;928;744;825;1305;1681;2041;1641;1802;1896;2212;2936;3244;3368;3804;5100;6005;10677;9896;10138;11925;12312;13062;13376
Mexico                        ;m. pesos                      ;January;;2232;2839;3733;4828;6190;7251;9750;10996;15685;18958;22666;27803;31422;33074;33598;35014;35314;39467;44496;52235;54977;65615;74517;80396;91907;100102;115158
Nicaragua                     ;m. córdobas                   ;January;36;. .;. .;161;289;236;226;238;265;266;286;278;318;391;377;496;533;520;571;655;728;826;849;946;1154;1651;2104;2152
Panama                        ;m. balboas                    ;January;37;103;102;73.1;78.6;78.8;95.2;101;96.6;101;118;104;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
