Military expenditure by country, in local currency, 1988-2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Figures are in local currency at current prices and are for financial years. Countries are grouped by region and subregion.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All data are expressed in the most recent currency for each country.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Figures in blue are SIPRI estimates. Figures in red indicate highly uncertain data.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
""". ."" = data unavailable. ""xxx"" = country did not exist or was not independent during all or part of the year in question.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country                   ;Currency;Financial year start;Notes;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Czech Rep.                    ;m. koruny                     ;January;72;xxx;xxx;xxx;xxx;xxx;23777;27008;28275;30509;31328;37643;41688;44670;44978;48924;53194;52481;58445;55358;54949;49827;51824;47706;43785;42007;40765;41991
Czechoslovakia                ;m. korunas                    ;January;73;29236;43784;41900;43037;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Denmark                       ;m. kroner                     ;January;;15620;15963;16399;17091;17129;17390;17293;17468;17896;18521;19071;19428;19339;21017;21269;21075;21441;20800;23173;22731;24410;23252;25328;24259;25617;23724;25022
Estonia                       ;m. euro                    ;January;? 74;xxx;xxx;xxx;xxx;4.3;11.1;20.9;26.6;31.9;47.1;53.9;69.2;84.9;105;130;152;165;214;251;325;346;313;251;280;340;361;384
Finland                       ;m. euros                      ;January;;1199;1275;1377;1497;1564;1552;1543;1402;1562;1700;1761;1552;1691;1653;1712;2006;2131;2206;2281;2203;2468;2591;2567;2697;2804;2852;2750
France                        ;m. euros                      ;January;75;32788;34351;35355;36730;36416;36771;37574;36349;36188;36756;36012;36510;36702;37187;38681;40684;42690;42545;43457;44273;45063;48146;46648;46471;46725;47010;46947
Georgia                       ;m. lari                       ;January;† 76;xxx;xxx;xxx;xxx;. .;. .;. .;. .;85.5;57.1;57.1;52.4;37.2;49.4;74.6;91.5;135;388;720;1556;1625;1008;810;791;822;679;685
German DR                     ;m. marks                      ;January;77;21647;22383;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Germany                       ;m. euros                      ;January;;31515;32302;34960;33530;33508;31459;30144;30159;29998;29451;29822;30603;30554;30648;31168;31060;30610;30600;30365;31090;32824;34171;34925;34630;36168;35901;35013
Greece                        ;m. euros                      ;January;78;1145;1220;1486;1683;2027;2264;2554;2842;3259;3665;4184;4496;4895;4948;5030;4462;5048;5652;6064;6235;7219;7660;6164;5128;4604;4535;4008
Hungary                       ;b. forint                     ;January;;54.8;53.2;58.4;61.1;70.3;76.9;90.8;89.4;103;147;151;191;226;272;280;314;311;319;297;326;321;299;281;296;298;271;271
Iceland;m. krónur;January;† 79;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;2781;2431;2261;2182;. .;
Ireland                       ;m. euros                      ;January;;332;344;463;473;490;503;538;556;596;641;662;696;754;858;862;855;887;921;949;1003;1081;1019;962;935;901;901;898
Italy                         ;m. euros                      ;January;80;13190;14121;14464;15592;15914;16715;16958;16300;18680;19987;21052;22240;24325;24592;25887;26795;27476;26959;26631;26275;28156;27571;27206;27429;26254;25526;23296
Latvia                        ;m. lats                       ;January;81;xxx;xxx;xxx;xxx;. .;17.0;27.0;32.7;29.9;31.4;35.4;47.1;60.4;77.7;130;154;176;219;293;352;398;262;196;212;199;214;226
Lithuania                     ;m. litai                      ;January;;xxx;xxx;xxx;xxx;. .;90.2;83.8;122;169;302;553;426;562;668;667;645;753;843;968;1116;1276;1006;851;855;883;923;981
Luxembourg                    ;m. euros                      ;January;;78.4;74.2;80.1;91.2;98.2;92.7;105;104;109;119;129;132;139;179;163;176;189;196;197;209;199;199;250;221;214;220;224
Macedonia, FYR                ;m. denars                     ;January;82;xxx;xxx;xxx;xxx;. .;. .;. .;. .;5223;4163;4302;3769;4602;15397;6841;6292;6683;6259;6149;7272;7229;7000;6044;5859;5719;5869;6192
Malta                         ;m. euros                     ;January;† ?;17.3;17.3;15.7;16.4;19.8;21.9;24.5;25.6;28.0;28.0;26.3;26.0;25.9;28.4;28.7;30.0;32.5;42.3;35.3;35.8;38.3;42.6;44.3;40.2;38.9;40.5;45.0
Moldova                       ;m. lei                        ;January;† ¶ 83;. .;. .;. .;. .;. .;9.7;36.7;60;70.7;80.5;57;63;63.3;76.7;94.7;115;116;151;216;276;383;277;227;270;289;337;387
Montenegro                    ;m. euros                         ;January;84;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;49.7;46.9;58.1;55.2;56.7;57.1;52.7;50.0;59.2
Netherlands                   ;m. euros                      ;January;;6035;6158;6132;6148;6308;5946;5895;5837;5989;6056;6154;6595;6482;6929;7149;7404;7552;7693;8145;8388;8448;8733;8472;8379;8067;7789;7602
Norway                        ;m. kroner                     ;January;;18865;20248;21251;21313;23638;22528;24019;22224;22813;23010;25087;25809;25722;26669;32461;31985;32945;31471;32142;34439;35932;38960;39279;40534;41560;43247;42697
Poland                        ;m. zlotys                     ;January;85;74;215;1464;1821;2564;3847;5117;6594;8313;10468;12133;12800;13673;14864;15407;16141;17479;19078;20541;23774;22525;24661;26505;28015;29266;29317;33124
Portugal                      ;m. euros                      ;January;;968;1144;1333;1525;1705;1758;1800;2013;2001;2089;2098;2259;2393;2598;2765;2755;2996;3248;3242;3190;3285;3563;3563;3528;3220;3602;3166
Romania                       ;m. new lei                    ;January;?;3.7;3.8;3.9;10.5;25.7;55.1;155;200;270;770;1113;1465;2031;2864;3491;4151;4994;5757;6324;6358;7558;6785;6630;7255;8084;8391;8515
USSR/Russia                        ;b. roubles                    ;January;86;138;134;123;. .;0.90;7.7;29.7;58.1;81.0;102;77.2;159;260;341;437;521;604;773;939;1114;1396;1636;1783;2064;2500;2796;3201
Serbia                        ;m. dinars                     ;January;87;xxx;xxx;xxx;xxx;. .;. .;. .;. .;3950;5406;6441;8600;21292;33060;43695;42070;43154;41996;47342;56792;61944;65843;67806;72377;75096;78330;83993
Slovak Rep.                   ;m. euros                    ;January;† ?;xxx;xxx;xxx;xxx;xxx;273;319;621;653;557;465;449;523;632;662;762;762;848;898;929;994;967;853;763;790;726;745
Slovenia                      ;m. euros                      ;January;?;xxx;xxx;xxx;xxx;95.5;109;128;166;186;194;209;208;207;275;328;360;396;413;485;506;566;575;583;479;423;381;370
Spain                         ;m. euros                      ;January;;5021;5550;5546;5693;5577;6340;5978;6483;6560;6750;6756;7092;7599;7972;8414;8587;9132;9508;11506;12219;12756;12196;11132;10059;10828;9495;9596
Sweden                        ;m. kronor                     ;January;88;30131;32447;36516;37612;37381;39004;39772;40872;41600;39726;40801;42541;43882;42639;42401;42903;40527;41240;41150;43163;39710;38751;42423;41070;42301;42528;45100
Switzerland                   ;m. francs                     ;January;† ¶ 89;4794;5042;5635;5760;5819;5336;5333;5493;5240;5077;5066;4727;4729;4664;4493;4404;4357;4339;4174;4231;4439;4413;4292;4417;4306;4684;4791
UK                            ;m. pounds                     ;April;90;19290;20868;22287;24380;22850;22686;22490;21439;22330;21612;22477;22548;23552;24874;26991;29338;29524;30603;31454;33486;36431;37425;37645;37608;36838;36217;36902
Ukraine                       ;m. hryvnias                   ;January;§ 91;xxx;xxx;xxx;xxx;. .;6.9;301;1542;2680;3851;3442;3890;6184;5848;6266;7615;8963;12328;15082;20685;25341;26899;29596;29358;33058;35061;47943
Yugoslavia (former)           ;m. new dinars                 ;January;92;5680;61130;51800;. .;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Middle East;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bahrain                       ;m. dinars                     ;January;93;78.0;82.0;90.0;99.0;105;105;107;114;121;121;124;137;135;140;167;194;200;193;216;242;271;311;317;389;445;507;539
Egypt                         ;m. pounds                     ;July;;3873;3926;5042;5766;6624;6982;7621;8267;7765;9240;9638;10124;11569;12148;13333;14563;14804;15933;17922;19350;21718;22831;26724;26244;28960;30947;39276
Iran                          ;b. rials                      ;April;94;1345;1117;1124;1206;1323;2008;3303;4731;6715;8616;9931;12238;15517;19102;23507;32774;49300;64801;85412;86998;110316;128746;142498;154602;154940;. .;. .
Iraq                          ;b. dinars                     ;January;95;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;892;1649;1814;2437;3428;3473;4190;6908;7061;9207;11100
Israel                        ;m. new shekels                ;January;96;12490;11329;15669;19927;20168;24742;26118;26667;30440;33286;34636;35710;38304;40074;47135;48593;49133;48293;50932;49106;50700;55173;54757;55393;56904;61263;56920
Jordan                        ;m. dinars                     ;January;;220;220;214;295;250;271;285;210;296;315;352;363;375;375;370;434;416;428;497;732;952;997;971;984;885;849;900
Kuwait                        ;m. dinars                     ;April;;577;643;4527;2821;883;916;1041;1163;778;711;680;712;707;784;882;950;1039;1020;1052;1209;1185;1220;1250;1568;1695;1637;. .
Lebanon                       ;b. pounds                     ;January;;16.1;. .;149;213;758;789;1071;1210;1156;1044;1052;1251;1402;1445;1368;1392;1439;1451;1521;1737;1763;2150;2390;2452;2649;2694;3198
Oman                          ;m. rials                      ;January;‡ 97;589;601;742;643;778;738;779;776;737;760;676;687;809;933;958;1010;1144;1404;1550;1663;1775;1726;1882;2564;4743;4494;3700
Qatar                         ;m. riyals                     ;January;;3577;3088;2879;3260;. .;. .;. .;. .;. .;. .;. .;. .;. .;. .;2770;2856;2811;3231;3879;5687;8436;7092;6831;. .;. .;. .;. .
Saudi Arabia                  ;b. riyals                     ;January;§ 98;50.1;47.8;61.3;61.3;57.6;61.7;53.5;49.5;50.0;68.0;78.2;68.7;74.9;78.9;69.4;70.3;78.4;95.1;111;133;143;155;170;182;212;251;303
Syria                         ;b. pounds                     ;January;99;13.6;15.5;17.2;30.2;31.1;27.9;36.6;39.7;41.7;43.9;45.9;47.6;49.3;53.4;55.3;67.1;70.2;75.7;74.9;82.7;86.8;101;109;120;. .;. .;. .
Turkey                        ;m. liras                      ;January;?;3.8;7.2;13.9;23.7;42.3;77.7;157;303;612;1183;2289;4168;6248;8844;13641;15426;15568;16232;18747;19664;22014;25033;26674;28692;31987;35089;38405
UAE                           ;m. dirhams                    ;January;100;. .;. .;. .;. .;. .;. .;. .;. .;. .;12246;14728;15546;21579;21293;19663;21428;25035;24254;26315;31073;42497;50814;64286;70445;69866;86528;83568
Yemen                         ;b. riyals                     ;January;101;xxx;xxx;9.7;12.3;15.7;18.4;28.3;32.9;39.2;51.3;52.2;61.5;76.6;91.1;130;148;136;156;162;209;239;288;318;345;347;354;369
Yemen, North                  ;m. rials                      ;January;102;5533;. .;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Yemen, South                  ;m. dinars                     ;January;;. .;. .;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numbered footnotes can be found on the Footnotes worksheet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
† Figures for these countries do not include military pensions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
‡  Figures for these countries are for current spending only  (i.e. exclude capital spending);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
§ Figures for these countries are for the adopted budget, rather than actual expenditure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
¶ Figures for these countries do not include spending on paramilitary forces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"? This country changed or redenominated its currency during the period; all current price local currency figures have been converted to the latest currency.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The symbol;between two cells indicates a change in units of currency, e.g. From thousands to billions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The symbols;and;between two parts of a series for a country indicate a series break, where data before the red lines may not be consistent with data after.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
